"source_labware","source_slot","source_well","asp_height","dest_labware","dest_slot","dest_well","transfer_volume"
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"F3",128.9
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"G3",179.1
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"H3",123.1
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"A4",99.8
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"B4",113.6
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"C4",115.5
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"D4",121.6
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"E4",171.1
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"F4",113.4
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"G4",122.3
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"H4",166.5
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"A5",112
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"B5",124.9
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"C5",127.7
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"D5",126.9
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"E5",144.9
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"F5",131.1
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"G5",124.2
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"H5",102
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"A6",108.9
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"B6",112.2
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"C6",118.6
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"D6",123.2
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"E6",136.7
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"F6",121.6
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"G6",139.2
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"H6",109.9
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"A7",107.3
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"B7",110.8
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"C7",117.7
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"D7",123.5
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"E7",118.1
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"F7",130.8
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"G7",132.2
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"H7",138.8
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"A8",86.7
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"B8",116.9
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"C8",110.8
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"D8",124.8
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"E8",130.6
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"F8",129.3
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"G8",119.7
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"H8",132.3
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"A9",108.2
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"B9",107
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"C9",122
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"D9",120.1
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"E9",132.6
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"F9",124.4
