"ot2set","reagent","source_labware","source_slot","source_well","asp_height","dest_labware","dest_slot","dest_well","disp_height","transfer_volume"
"set5_indexes.pcr2","indexPlate_setC","nest_96_wellplate_100ul_pcr_full_skirt",11,"A1",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A1",1,4
"set5_indexes.pcr2","indexPlate_setC","nest_96_wellplate_100ul_pcr_full_skirt",11,"A2",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A2",1,4
"set5_indexes.pcr2","indexPlate_setC","nest_96_wellplate_100ul_pcr_full_skirt",11,"A3",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A3",1,4
"set5_indexes.pcr2","indexPlate_setC","nest_96_wellplate_100ul_pcr_full_skirt",11,"A4",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A4",1,4
"set5_indexes.pcr2","indexPlate_setC","nest_96_wellplate_100ul_pcr_full_skirt",11,"A5",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A5",1,4
"set5_indexes.pcr2","indexPlate_setC","nest_96_wellplate_100ul_pcr_full_skirt",11,"A6",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A6",1,4
"set5_indexes.pcr2","indexPlate_setC","nest_96_wellplate_100ul_pcr_full_skirt",11,"A7",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A7",1,4
"set5_indexes.pcr2","indexPlate_setC","nest_96_wellplate_100ul_pcr_full_skirt",11,"A8",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A8",1,4
"set5_indexes.pcr2","indexPlate_setC","nest_96_wellplate_100ul_pcr_full_skirt",11,"A9",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A9",1,4
"set5_indexes.pcr2","indexPlate_setC","nest_96_wellplate_100ul_pcr_full_skirt",11,"A10",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A10",1,4
"set5_indexes.pcr2","indexPlate_setC","nest_96_wellplate_100ul_pcr_full_skirt",11,"A11",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A11",1,4
"set5_indexes.pcr2","indexPlate_setC","nest_96_wellplate_100ul_pcr_full_skirt",11,"A12",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A12",1,4
"set6_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A1",1,10
"set6_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A2",1,10
"set6_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A3",1,10
"set6_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A4",1,10
"set6_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A5",1,10
"set6_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A6",1,10
"set6_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A7",1,10
"set6_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A8",1,10
"set6_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A9",1,10
"set6_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A10",1,10
"set6_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A11",1,10
"set6_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A12",1,10
